1918,Enchanters' End Game (The Belgariad #5),Sanders,Grove,Suspense,8.78,
1817,Clear and Present Danger (Jack Ryan Universe #6),Gebreail,Dorthy,Satire,2.63,
1821,Duck On A Bike,Ben Ami,Nasir,Horror,5.73,
1801,The Amber Spyglass (His Dark Materials #3),Geyer,Wayne,Western,7.28,
2015,On the Prowl (Alpha & Omega #0.5),Onwochie,Fannye,Adventure,7.81,
1835,My Grandmother Asked Me to Tell You She's Sorry,Demichelli Vergara,Khadijah,Romance,8.96,
1741,Haunted (The Mediator #5),Miccoli,Shari,Drama,1.30,
1795,American Gods (American Gods #1),Roy,Severo,Dystopian,4.18,
1732,Epileptic,Martinez,Lavera,Dystopian,5.69,
1751,The Magus,Calvert,Maleah,Romance,2.50,
1787,Lucky Jim,Pantuckova,Suzy,Non-Fiction,5.79,
1876,Kitchen Princess Vol. 01 (Kitchen Princess #1),Blount,Delphin,Adventure,6.43,
2019,The Lost Hero (The Heroes of Olympus #1),Arnaout,Sylvia,Horror,5.32,
1866,Mother of Pearl,Milojevic,Jarod,Science-Fiction,3.23,
1978,The Wise Man's Fear (The Kingkiller Chronicle #2),Mhaoud,Cassondra,Western,7.92,
1931,Wonderstruck,Benitez Zafra,Jill,Mystery,6.96,
1961,The Monuments Men: Allied Heroes Nazi Thieves and the Greatest Treasure Hunt in History,Balu,Josefa,Fantasy,6.73,
1919,Point of Origin (Kay Scarpetta #9),Cardenas,Gina,Fantasy,7.37,
1961,Long Day's Journey Into Night,Kacunko,Mendy,Crime,5.28,
1994,Servant of the Bones,Cardone,Reubin,Comedy,3.57,
2013,The Devil's Star (Harry Hole #5),Andres Gomez,Sarah,Comedy,8.36,
1961,It's Not Summer Without You (Summer #2),Kim,Francisqui,Mystery,8.69,
1779,The Peacegiver: How Christ Offers to Heal Our Hearts and Homes,Kawamura,Paulette,Romance,3.19,
1758,Magic Steps (The Circle Opens #1),Walpole,Friend,Horror,6.26,
1911,Drown,Huber,Brittney,Non-Fiction,5.77,
1767,Blood Brothers (Sign of Seven #1),Mitterlehner,Evie,Non-Fiction,6.91,
1850,The Magic Faraway Tree (The Faraway Tree #2),Dong,Christina,History,3.32,
1974,Lonesome Dove,Brys,Reese,Fiction,9.09,
1733,The Life and Times of the Thunderbolt Kid,Morozova,Alison,Adventure,9.03,
1877,Lover at Last (Black Dagger Brotherhood #11),Casanova,Mai,Non-Fiction,5.51,
1709,Everything Is Illuminated,Huberty,Fritz,History,9.91,
1941,Police (Harry Hole #10),Thorpe,Lorrayne,Western,3.78,
1933,Five Go to Smuggler's Top (Famous Five #4),Mahboob Khan,Emma,Dystopian,8.66,
1919,Blue Shoes and Happiness (No. 1 Ladies' Detective Agency #7),Wan,Merritt,Adventure,3.15,
1884,Zeitoun,Killingsworth,Daisey,Mystery,9.96,
1714,King of the Murgos (The Malloreon #2),Von Peschke,Krystle,Romance,8.81,
1782,Swimmy,Thill,Rebecca,Thriller,7.94,
1692,Halt's Peril (Ranger's Apprentice #9),Jaja,Anjanette,Western,8.99,
1829,So You've Been Publicly Shamed,Hotta,Freda,Satire,3.69,
1873,The Saving Graces,Davis,Jessie,Satire,2.21,
1722,This Is Where It Ends,Sereja,Gracia,Drama,6.02,
1893,The World Is Flat: A Brief History of the Twenty-first Century,Starkie,Caro,Western,4.96,
2022,The Moral Landscape: How Science Can Determine Human Values,Hadziselimovic,Corrine,Horror,6.96,
1997,The Complete Tales,Prats Millan,Prudie,Fiction,5.25,
1973,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Greabu,Alyse,Fiction,9.34,
1896,The Weight of Water,Dambrosio,Hailie,Romance,2.15,
1979,Three Men in a Boat (Three Men #1),Studenikova,Aylin,Comedy,5.60,
1820,Tikki Tikki Tembo,Mercado,Sharen,Fiction,4.67,
1763,Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype,Eskola,Shaniece,Thriller,8.54,
1805,The Little Friend,Coetzer,Pinkney,Mystery,8.14,
1767,The Measure of a Lady,Lu,Zigmund,Satire,7.98,
1829,The Doomsday Conspiracy,Lieffrig,Tolbert,Drama,3.05,
1989,The Lying Game (The Lying Game #1),Groenvynck,Dawson,Suspense,8.68,
1981,Dodger,Mitchell,Candi,Fiction,2.09,
2001,Collected Fictions,De Andres Therond,Kaycee,History,5.15,
2016,Blameless (Parasol Protectorate #3),Connelly,Waylon,Action,8.87,
1782,The Julian Chapter (Wonder Story),Wlodarczak,Glenda,Non-Fiction,7.65,
1747,10% Happier: How I Tamed the Voice in My Head Reduced Stress Without Losing My Edge and Found Self-Help That Actually Works,Rosenfield,Ples,Comedy,8.32,
2018,The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning Clean My Closets Fight Right Read Aristotle and Generally Have More Fun,Middleton,Brennen,Satire,5.16,
1831,The Hand of Chaos (The Death Gate Cycle #5),Krstajic,Gabriela,Science-Fiction,9.63,
1959,Lies & the Lying Liars Who Tell Them: A Fair & Balanced Look at the Right,Bes Ostariz,Zula,Mystery,5.95,
1723,Doll Bones,Rink,Renata,History,6.88,
1806,Going Bovine,Chuang,Constance,Action,1.95,
1848,Pretties (Uglies #2),Becker,Roberto,Satire,4.78,
1694,A Voice in the Wind (Mark of the Lion #1),Kierberg,Shani,Western,4.14,
1922,The Testament of Mary,Dunford,Nikolas,Romance,5.56,
1954,Queen of Sorcery (The Belgariad #2),Shahid Kamal,Murray,Fantasy,1.92,
1928,The Diary of Frida Kahlo: An Intimate Self-Portrait,Heynemans,Shayna,Suspense,8.50,
2004,The Caine Mutiny,Iturbide,Eudora,Suspense,8.18,
1875,Hellboy Vol. 3: The Chained Coffin and Others (Hellboy #3),Preda,Albertina,Comedy,4.00,
1805,Angels in America,Lotz,Adrain,Thriller,1.14,
1649,Of Triton (The Syrena Legacy #2),Rooks,Yuridia,Non-Fiction,7.91,
2000,Perelandra (Space Trilogy #2),Quadri,Jaleesa,Action,6.66,
1743,The Long Goodbye (Philip Marlowe #6),Zandarin,Dimitrios,History,1.74,
1708,The Honor of the Queen (Honor Harrington #2),Fomina,Johnnie,Adventure,5.68,
2022,Comfort Me with Apples: More Adventures at the Table,Heck,Dina,Horror,6.73,
1818,Firestar's Quest (Warriors Super Edition #1),Lapis,Trever,Fiction,5.81,
1793,Honor's Splendour,Hernandez,Ezzard,Dystopian,3.56,
1759,Shopaholic and Sister (Shopaholic #4),Perez Garcia,Christ,Satire,7.57,
1781,Kitty Goes to Washington (Kitty Norville #2),Bornschein,Danika,Fiction,6.75,
1717,Cold Days (The Dresden Files #14),Calbeto,Jair,Fiction,4.64,
1772,Mind Prey (Lucas Davenport #7),Kelava,Alton,Drama,1.32,
1950,Caressed by Ice (Psy-Changeling #3),Wang,Matteo,Fantasy,2.69,
1797,The Guernsey Literary and Potato Peel Pie Society,Lucas,Shirleen,Non-Fiction,3.03,
1969,The Atlantis Gene (The Origin Mystery #1),Atzori,Devontae,Fiction,6.57,
1730,UnEnchanted (An Unfortunate Fairy Tale #1),Radovcic,Jenelle,Horror,1.32,
1796,The Tell-Tale Heart,Van Doren,Elma,Fantasy,9.85,
1961,The Dragon Reborn (Wheel of Time #3),Kruger,Orval,Suspense,7.52,
1678,The Prince and the Pauper,Pociute,Charolette,Comedy,9.96,
1941,Half a King (Shattered Sea #1),Andrade,Shelbi,Crime,1.43,
1670,Prodigal Summer,Kryvatulava,Wilfredo,Fiction,5.96,
1929,Matilda,Miao,Allen,Suspense,5.78,
1782,The Walking Dead Vol. 07: The Calm Before,Billett,Gillian,Western,6.73,
1890,Uncommon Criminals (Heist Society #2),Briscoe,Mickey,Mystery,5.31,
1998,Vampires are Forever (Argeneau #8),Cuevas Bucio,Armand,Dystopian,2.49,
1806,Term Limits,Palvolgyi,Gladstone,Thriller,9.70,
1837,Red Harvest,Krzesinska,Elenor,Dystopian,2.51,
1863,The Ocean at the End of the Lane,Rouquier,Muriel,Fantasy,6.90,
1758,Ozma of Oz (Oz #3),Stemmer,Martine,Suspense,8.20,
1800,Foundation and Earth (Foundation #5),Vrba,Madalynn,Adventure,2.16,
1750,Sweet Peril (Sweet #2),Panfilova,Kelan,Mystery,5.96,
1683,Flawless (Pretty Little Liars #2),Isabekova,Dolph,Comedy,8.26,
1938,The Golem's Eye (Bartimaeus #2),Carvajal,Sterling,Horror,8.48,
1725,The Compound (The Compound #1),Eichkorn,Randel,Suspense,3.20,
1848,Austenland (Austenland #1),Nedelcheva,Malachi,Drama,1.50,
1772,Holding Up the Universe,Zenovka,Dylon,Mystery,2.59,
1931,Heretic (The Grail Quest #3),Friant,Rene,Satire,3.73,
2016,Paradise Lost,Kissell,Eliga,Fiction,5.59,
1934,Halo: The Flood,Christie,Kian,History,5.87,
2019,Small Gods (Discworld #13),Taddei,Fidel,Adventure,1.32,
1683,Shadows in Flight (Ender's Shadow #5),Gawlik,Moe,Satire,5.49,
1719,Don't Blink,Niemiec,Florencio,Horror,3.92,
1903,Seating Arrangements,Diesslin,Jazmyn,Comedy,4.88,
1931,The Coincidence of Callie & Kayden (The Coincidence #1),Lucas,Jiles,Action,8.32,
1653,Crazy Love: Overwhelmed by a Relentless God,Sutedja,Marty,Horror,1.46,
1909,Indulgence in Death (In Death #31),Albertalli,Frederica,Fantasy,7.91,
1661,Branded (Fall of Angels #1),Carrizo,Makala,Science-Fiction,7.94,
1952,The Lady of the Rivers (The Plantagenet and Tudor Novels #1),Herlogsson,Gabrielle,Science-Fiction,8.60,
